neighborhood_name,count
Can Peguera,75
Vallbona,77
Torre Baró,128
Ciutat Meridiana,143
la Clota,176
el Coll,208
Can Baró,228
Baró de Viver,256
Verdun,274
el Turó de la Peira,308
"Vallvidrera, el Tibidabo i les Planes",312
la Teixonera,322
la Font d'en Fargues,390
Canyelles,441
Montbau,451
les Roquetes,509
Sant Genís dels Agudells,536
la Guineueta,545
el Congrés i els Indians,549
la Font de la Guatlla,608
la Trinitat Nova,715
el Besòs i el Maresme,743
Sants - Badal,754
la Vall d'Hebron,777
la Salut,795
la Verneda i la Pau,817
Navas,828
Sant Martí de Provençals,862
la Prosperitat,873
la Sagrera,911
Porta,940
Vilapicina i la Torre Llobeta,940
la Trinitat Vella,941
el Poble-sec,985
el Carmel,1008
la Bordeta,1051
la Marina de Port,1158
el Baix Guinardó,1267
el Guinardó,1287
la Vila Olímpica del Poblenou,1296
el Putxet i el Farró,1315
Diagonal Mar i el Front Marítim del Poblenou,1327
el Camp d'en Grassot i Gràcia Nova,1351
Hostafrancs,1369
Vallcarca i els Penitents,1384
"Sant Pere, Santa Caterina i la Ribera",1398
el Bon Pastor,1459
la Barceloneta,1468
el Clot,1505
Horta,1512
les Tres Torres,1573
el Poblenou,1628
el Parc i la Llacuna del Poblenou,1641
el Barri Gòtic,1660
el Poble Sec,1687
el Camp de l'Arpa del Clot,1747
el Raval,1767
Provençals del Poblenou,1793
Sants,1797
la Vila de Gràcia,1865
Pedralbes,1867
Sarrià,1937
Sant Andreu,2078
la Maternitat i Sant Ramon,2480
Sant Gervasi - la Bonanova,2538
la Marina del Prat Vermell,2567
Sant Antoni,2604
el Fort Pienc,3124
les Corts,3342
la Sagrada Família,3829
la Nova Esquerra de l'Eixample,4275
Sant Gervasi - Galvany,4633
l'Antiga Esquerra de l'Eixample,6073
la Dreta de l'Eixample,12354
